Date_Time,DO_mgL,Spec_con,DO_Sat,Water_Temp,Receiver_Serial
2023-06-12 00:00,8.4,649,89,17.6,139266
2023-06-12 01:00,8.6,682,92,17.4,139266
2023-06-12 02:00,8.7,692,93,17.4,139266
2023-06-12 03:00,8.8,672,93,17.3,139266
2023-06-12 04:00,8.7,673,93,17.3,139266
2023-06-12 05:00,8.7,681,93,17.3,139266
2023-06-12 06:00,8.8,700,93,17.2,139266
2023-06-12 07:00,8.8,709,93,17.1,139266
2023-06-12 08:00,8.9,695,95,17.2,139266
2023-06-12 09:00,8.9,679,95,17.3,139266
2023-06-12 10:00,8.9,673,94,17.3,139266
2023-06-12 11:00,8.9,664,95,17.4,139266
2023-06-12 12:00,8.9,665,95,17.5,139266
2023-06-12 13:00,9.1,669,97,17.7,139266
2023-06-12 14:00,9.1,673,98,17.9,139266
2023-06-12 15:00,9.1,670,98,18.1,139266
2023-06-12 16:00,9,666,98,18.2,139266
2023-06-12 17:00,8.8,655,95,18.2,139266
2023-06-12 18:00,8.8,657,95,18.2,139266
2023-06-12 19:00,8.7,666,94,18.3,139266
2023-06-12 20:00,8.6,682,94,18.3,139266
2023-06-12 21:00,8.5,686,92,18.3,139266
2023-06-12 22:00,8.4,682,91,18.3,139266
2023-06-12 23:00,8.5,669,92,18.3,139266
2023-06-13 00:00,8.4,684,91,18.2,139266
2023-06-13 01:00,8.4,704,91,18.2,139266
2023-06-13 02:00,8.4,707,90,18.1,139266
2023-06-13 03:00,8.3,709,90,18,139266
2023-06-13 04:00,8.2,707,88,17.9,139266
2023-06-13 05:00,8.3,711,90,17.9,139266
2023-06-13 06:00,8.3,723,89,17.8,139266
2023-06-13 07:00,8.5,706,91,17.8,139266
2023-06-13 08:00,8.4,698,91,17.9,139266
2023-06-13 09:00,8.6,710,92,18.1,139266
2023-06-13 10:00,8.6,710,93,18,139266
2023-06-13 11:00,8.7,714,94,18,139266
2023-06-13 12:00,8.5,722,92,18,139266
2023-06-13 13:00,8.4,745,91,18,139266
2023-06-13 14:00,8.5,759,92,18,139266
2023-06-13 15:00,8.5,768,91,18.1,139266
2023-06-13 16:00,8.6,781,93,18.1,139266
2023-06-13 17:00,8.4,776,91,18.2,139266
2023-06-13 18:00,8.2,753,89,18.2,139266
2023-06-13 19:00,8.1,744,87,18.2,139266
2023-06-13 20:00,8,749,87,18.2,139266
2023-06-13 21:00,7.9,749,86,18.1,139266
2023-06-13 22:00,7.8,762,84,18.1,139266
2023-06-13 23:00,7.3,774,79,18.1,139266
2023-06-14 00:00,7,785,76,18.1,139266
2023-06-14 01:00,6.2,785,67,18,139266
2023-06-14 02:00,5.6,787,61,18,139266
2023-06-14 03:00,6.4,772,68,18,139266
2023-06-14 04:00,6.6,753,71,17.9,139266
2023-06-14 05:00,7,729,76,17.9,139266
2023-06-14 06:00,7.3,708,78,17.9,139266
2023-06-14 07:00,7.5,692,80,17.8,139266
2023-06-14 08:00,7.5,663,81,17.8,139266
2023-06-14 09:00,7.5,647,80,17.8,139266
2023-06-14 10:00,7.5,621,81,17.8,139266
2023-06-14 11:00,7.6,582,82,17.9,139266
2023-06-14 12:00,7.4,528,80,18.1,139266
2023-06-14 13:00,6.6,500,72,18.3,139266
2023-06-14 14:00,6.2,469,67,18.5,139266
2023-06-14 15:00,7.2,449,79,18.6,139266
2023-06-14 16:00,8,443,87,18.7,139266
