Date_Time,DO_mgL,Spec_con,DO_Sat,Water_Temp,Receiver_Serial
2023-06-12 00:10,6.9,529,78,19.95,490320
2023-06-12 01:10,6.8,526,76.5,19.95,490320
2023-06-12 02:10,6.95,524.5,78.5,19.9,490320
2023-06-12 03:10,6.9,522,77,19.85,490320
2023-06-12 04:10,6.95,519.5,77.5,19.8,490320
2023-06-12 05:10,7,519,78,19.75,490320
2023-06-12 06:10,6.85,519.5,77,19.75,490320
2023-06-12 07:10,5.75,517.5,64,19.75,490320
2023-06-12 08:10,6.4,518,71,19.75,490320
2023-06-12 09:10,7.05,518.5,78.5,19.8,490320
2023-06-12 10:10,7.3,518,81.5,19.8,490320
2023-06-12 11:10,7.3,517.5,81.5,19.75,490320
2023-06-12 12:10,6.7,514,75,19.9,490320
2023-06-12 13:10,7.35,515.5,82.5,20.05,490320
2023-06-12 14:10,7.35,515.5,83,20,490320
2023-06-12 15:10,7.9,516,89,20.15,490320
2023-06-12 16:10,7.55,517.5,85,20.1,490320
2023-06-12 17:10,7.9,518,89,20.15,490320
2023-06-12 18:10,7.8,525,87.5,20.1,490320
2023-06-12 19:10,7.55,525.5,85,20.05,490320
2023-06-12 20:10,7.3,528.5,81.5,20.05,490320
2023-06-12 21:10,7.4,533,83,19.95,490320
2023-06-12 22:10,7.15,536,80,19.9,490320
2023-06-12 23:10,7.05,539.5,78.5,19.9,490320
2023-06-13 00:10,6.25,539.5,70,19.85,490320
2023-06-13 01:10,6.4,539.5,71,19.8,490320
2023-06-13 02:10,6.95,540,78,19.75,490320
2023-06-13 03:10,7.1,541,79,19.7,490320
2023-06-13 04:10,6.3,539,69.5,19.65,490320
2023-06-13 05:10,6.25,540,70,19.65,490320
2023-06-13 06:10,6.1,539.5,67.5,19.6,490320
2023-06-13 07:10,7.1,542,78.5,19.55,490320
2023-06-13 08:10,7.15,541,79,19.5,490320
2023-06-13 09:10,7.05,539.5,78.5,19.6,490320
2023-06-13 10:10,6.95,538,76.5,19.65,490320
2023-06-13 11:10,7.05,536.5,78.5,19.75,490320
2023-06-13 12:10,7.25,536,80.5,19.65,490320
2023-06-13 13:10,7.45,528,83.5,19.6,490320
2023-06-13 14:10,7.45,527.5,83.5,19.65,490320
2023-06-13 15:10,7.3,527,81.5,19.6,490320
2023-06-13 16:10,7.35,527,82,19.55,490320
2023-06-13 17:10,7.4,528.5,82,19.55,490320
2023-06-13 18:10,7.35,530.5,82,19.5,490320
2023-06-13 19:10,7.35,532,81.5,19.45,490320
2023-06-13 20:10,7.1,533.5,79,19.4,490320
2023-06-13 21:10,7.2,535,79.5,19.3,490320
2023-06-13 22:10,7.2,536.5,79.5,19.3,490320
2023-06-13 23:10,7.1,538.5,79.5,19.3,490320
2023-06-14 00:10,7.15,541,79.5,19.3,490320
2023-06-14 01:10,7.05,540,78,19.25,490320
2023-06-14 02:10,7,537,78,19.25,490320
2023-06-14 03:10,6.95,537,77,19.25,490320
