Date_Time,DO_mgL,Spec_con,DO_Sat,Water_Temp,Receiver_Serial
2023-06-12 00:10,7.1,719,76,17.9,139270
2023-06-12 01:10,6.9,716,74,17.8,139270
2023-06-12 02:10,6.9,713,74,17.7,139270
2023-06-12 03:10,6.9,709,73,17.6,139270
2023-06-12 04:10,6.9,707,74,17.5,139270
2023-06-12 05:10,6.9,704,74,17.4,139270
2023-06-12 06:10,7,705,74,17.3,139270
2023-06-12 07:10,7.2,723,76,17.3,139270
2023-06-12 08:10,7.1,741,76,17.2,139270
2023-06-12 09:10,7.2,743,76,17.3,139270
2023-06-12 10:10,7.4,747,78,17.3,139270
2023-06-12 11:10,7.4,745,79,17.3,139270
2023-06-12 12:10,7.6,746,81,17.4,139270
2023-06-12 13:10,7.2,750,77,17.5,139270
2023-06-12 14:10,7.7,758,82,17.7,139270
2023-06-12 15:10,7.6,763,81,17.8,139270
2023-06-12 16:10,7.8,770,84,18,139270
2023-06-12 17:10,7.7,771,83,18,139270
2023-06-12 18:10,8,759,86,18.1,139270
2023-06-12 19:10,8,744,86,18.1,139270
2023-06-12 20:10,8,743,87,18,139270
2023-06-12 21:10,8,747,87,18.1,139270
2023-06-12 22:10,8.1,751,87,18.1,139270
2023-06-12 23:10,7.9,745,86,18.1,139270
2023-06-13 00:10,7.9,740,85,18.1,139270
2023-06-13 01:10,7.4,733,79,18,139270
2023-06-13 02:10,7.5,731,81,18,139270
2023-06-13 03:10,7.5,732,81,17.9,139270
2023-06-13 04:10,7.3,740,79,17.9,139270
2023-06-13 05:10,7.2,746,77,17.9,139270
2023-06-13 06:10,7,746,76,17.9,139270
2023-06-13 07:10,6.8,742,73,17.9,139270
2023-06-13 08:10,7,742,76,18,139270
2023-06-13 09:10,7,749,76,18,139270
2023-06-13 10:10,6.8,775,74,18,139270
2023-06-13 11:10,6.9,780,74,18.1,139270
2023-06-13 12:10,6.9,786,75,18,139270
2023-06-13 13:10,7,788,75,18,139270
2023-06-13 14:10,7,801,76,18,139270
2023-06-13 15:10,7.3,796,79,17.9,139270
2023-06-13 16:10,7.6,786,82,18,139270
2023-06-13 17:10,7.7,792,83,18,139270
2023-06-13 18:10,7.8,802,84,18,139270
2023-06-13 19:10,7.8,813,84,18,139270
2023-06-13 20:10,7.8,822,84,18,139270
2023-06-13 21:10,7.7,823,83,18.1,139270
2023-06-13 22:10,7.5,802,81,18.1,139270
