Date_Time,DO_mgL,Spec_con,DO_Sat,Water_Temp,Receiver_Serial
2023-06-12 00:00,8.5,701,95,19.9,139257
2023-06-12 01:00,8.1,702,91,19.7,139257
2023-06-12 02:00,7.9,700,88,19.5,139257
2023-06-12 03:00,7.6,700,84,19.4,139257
2023-06-12 04:00,7.4,700,82,19.3,139257
2023-06-12 05:00,7.1,699,78,19.2,139257
2023-06-12 06:00,5.6,693,62,19.1,139257
2023-06-12 07:00,6,701,66,19,139257
2023-06-12 08:00,6.7,705,74,19,139257
2023-06-12 09:00,7.1,714,78,19,139257
2023-06-12 10:00,7.3,713,81,19,139257
2023-06-12 11:00,8.1,711,90,19.1,139257
2023-06-12 12:00,7.9,712,87,19.1,139257
2023-06-12 13:00,7.9,714,87,19,139257
2023-06-12 14:00,7.9,709,87,19.1,139257
2023-06-12 15:00,8.4,691,93,19.3,139257
2023-06-12 16:00,8.3,703,92,19.2,139257
2023-06-12 17:00,9.8,683,109,19.5,139257
2023-06-12 18:00,9.8,677,110,19.6,139257
2023-06-12 19:00,10.2,680,114,19.7,139257
2023-06-12 20:00,11.5,657,129,19.9,139257
2023-06-12 21:00,10.9,664,122,19.8,139257
2023-06-12 22:00,11.2,661,126,19.7,139257
2023-06-12 23:00,10.7,665,120,19.6,139257
2023-06-13 00:00,10.5,669,117,19.5,139257
2023-06-13 01:00,10.1,670,113,19.5,139257
2023-06-13 02:00,9.9,671,110,19.4,139257
2023-06-13 03:00,9.3,673,103,19.3,139257
2023-06-13 04:00,10.1,674,112,19.3,139257
2023-06-13 05:00,10.3,675,114,19.2,139257
2023-06-13 06:00,9.8,675,108,19.1,139257
2023-06-13 07:00,9.7,675,108,19.1,139257
2023-06-13 08:00,9.6,676,106,19.1,139257
2023-06-13 09:00,9.4,678,104,19.1,139257
2023-06-13 10:00,9.6,678,106,19.1,139257
2023-06-13 11:00,9.3,680,103,19.2,139257
2023-06-13 12:00,9.3,685,103,19.2,139257
2023-06-13 13:00,9.2,695,102,19.2,139257
2023-06-13 14:00,9.7,696,107,19.3,139257
2023-06-13 15:00,9.9,702,109,19.3,139257
2023-06-13 16:00,9.9,701,110,19.3,139257
2023-06-13 17:00,10.3,694,114,19.2,139257
2023-06-13 18:00,9.9,697,110,19.2,139257
2023-06-13 19:00,9.6,696,106,19.2,139257
2023-06-13 20:00,9.2,700,102,19.2,139257
2023-06-13 21:00,9,696,100,19.1,139257
2023-06-13 22:00,8.9,694,99,19.1,139257
2023-06-13 23:00,8.6,699,95,19.1,139257
2023-06-14 00:00,8.5,692,94,19,139257
2023-06-14 01:00,8,689,88,19,139257
2023-06-14 02:00,8.4,679,93,19,139257
2023-06-14 03:00,7.6,682,84,18.9,139257
2023-06-14 04:00,6.8,695,74,18.9,139257
2023-06-14 05:00,6.8,697,75,18.9,139257
2023-06-14 06:00,6.8,693,75,18.8,139257
2023-06-14 07:00,7,690,77,18.8,139257
2023-06-14 08:00,6.6,697,73,18.8,139257
2023-06-14 09:00,6.6,693,72,18.7,139257
2023-06-14 10:00,6.5,693,72,18.7,139257
