Date_Time,DO_mgL,Spec_con,DO_Sat,Water_Temp,Receiver_Serial
2023-06-12 00:00,6.2,745,73,20.1,139255
2023-06-12 01:00,6.2,744,72,20,139255
2023-06-12 02:00,6,745,70,19.9,139255
2023-06-12 03:00,6,731,69,19.9,139255
2023-06-12 04:00,6,713,70,19.8,139255
2023-06-12 05:00,6,686,70,19.8,139255
2023-06-12 06:00,6,682,69,19.8,139255
2023-06-12 07:00,5.3,682,61,19.8,139255
2023-06-12 08:00,5.8,687,67,19.8,139255
2023-06-12 09:00,5.5,687,64,19.7,139255
2023-06-12 10:00,6,692,70,19.8,139255
2023-06-12 11:00,6.3,728,73,19.8,139255
2023-06-12 12:00,5.7,732,66,19.8,139255
2023-06-12 13:00,6.5,755,75,19.9,139255
2023-06-12 14:00,6.7,766,77,19.9,139255
2023-06-12 15:00,6.3,755,72,19.9,139255
2023-06-12 16:00,6.4,768,74,19.8,139255
2023-06-12 17:00,7.1,777,82,19.9,139255
2023-06-12 18:00,7.3,759,84,20,139255
2023-06-12 19:00,7.1,736,82,19.9,139255
2023-06-12 20:00,6.9,731,80,19.8,139255
2023-06-12 21:00,6.8,729,78,19.8,139255
2023-06-12 22:00,6.5,733,75,19.8,139255
2023-06-12 23:00,6.5,721,75,19.8,139255
2023-06-13 00:00,5.8,719,67,19.8,139255
2023-06-13 01:00,5.8,714,67,19.7,139255
2023-06-13 02:00,6.3,711,73,19.7,139255
2023-06-13 03:00,6.2,709,72,19.6,139255
2023-06-13 04:00,6.3,710,72,19.6,139255
2023-06-13 05:00,5.5,708,64,19.6,139255
2023-06-13 06:00,5.8,710,66,19.6,139255
2023-06-13 07:00,6.1,714,70,19.6,139255
2023-06-13 08:00,6.6,725,76,19.5,139255
2023-06-13 09:00,6.6,742,76,19.5,139255
2023-06-13 10:00,7,789,78,19.5,139255
2023-06-13 11:00,7,793,79,19.6,139255
2023-06-13 12:00,7.2,800,81,19.7,139255
2023-06-13 13:00,7.2,779,81,19.6,139255
2023-06-13 14:00,7.2,746,81,19.6,139255
2023-06-13 15:00,7.1,736,80,19.6,139255
2023-06-13 16:00,7.1,730,80,19.6,139255
2023-06-13 17:00,7,727,78,19.5,139255
2023-06-13 18:00,6.9,739,77,19.5,139255
2023-06-13 19:00,7,777,78,19.6,139255
2023-06-13 20:00,7.1,822,79,19.5,139255
2023-06-13 21:00,7,817,79,19.5,139255
2023-06-13 22:00,6.9,788,78,19.5,139255
2023-06-13 23:00,7,750,78,19.5,139255
2023-06-14 00:00,7,731,78,19.5,139255
2023-06-14 01:00,6.9,715,78,19.5,139255
2023-06-14 02:00,7.1,750,79,19.5,139255
2023-06-14 03:00,7.1,784,80,19.5,139255
2023-06-14 04:00,7.1,790,79,19.5,139255
2023-06-14 05:00,7,792,78,19.5,139255
2023-06-14 06:00,6.9,800,78,19.5,139255
2023-06-14 07:00,6.8,808,76,19.5,139255
2023-06-14 08:00,6.7,819,75,19.5,139255
2023-06-14 09:00,6.5,827,73,19.5,139255
2023-06-14 10:00,6.4,834,72,19.6,139255
2023-06-14 11:00,6.3,851,70,19.6,139255
2023-06-14 12:00,6.2,854,70,19.8,139255
2023-06-14 13:00,6,864,69,20.7,139255
2023-06-14 14:00,5.9,850,69,21,139255
2023-06-14 15:00,5.7,844,66,20.9,139255
2023-06-14 16:00,5.8,852,66,20.2,139255
2023-06-14 17:00,5.7,852,65,20.5,139255
2023-06-14 18:00,5.9,833,68,20.6,139255
2023-06-14 19:00,6,796,68,20.4,139255
2023-06-14 20:00,5.9,772,68,20.2,139255
2023-06-14 21:00,5.7,768,65,20.1,139255
2023-06-14 22:00,5.8,724,66,19.9,139255
2023-06-14 23:00,5.8,707,65,19.9,139255
2023-06-15 00:00,5.7,681,64,19.8,139255
2023-06-15 01:00,5.6,678,63,19.8,139255
2023-06-15 02:00,5.6,658,64,19.8,139255
2023-06-15 03:00,5.8,631,66,19.7,139255
2023-06-15 04:00,5.9,621,66,19.7,139255
2023-06-15 05:00,5.8,616,65,19.6,139255
2023-06-15 06:00,5.8,614,65,19.6,139255
2023-06-15 07:00,5.8,617,65,19.6,139255
2023-06-15 08:00,5.9,631,67,19.6,139255
2023-06-15 09:00,6.2,652,70,19.7,139255
2023-06-15 10:00,6.4,658,72,19.7,139255
2023-06-15 11:00,6.8,676,77,19.8,139255
2023-06-15 12:00,6.9,663,79,20.1,139255
2023-06-15 13:00,7,671,80,20.3,139255
2023-06-15 14:00,6.9,682,79,20.2,139255
